"tweet_text", "sentiment"
RT @ShaunKing: Several women who are survivors of sexual assault told me how much it hurt to hear &amp; see Kanye say he loves Donald Trump and…,negative
RT @RT_com: ‘Israel will be destroyed if Trump sparks war in Middle East’ – Iran defense minister https://t.co/wYo8Bq5ggf,negative
RT @HealthRanger: Debateable: bureaucrats insinuate that #Trump is pro-manditory vax... but is that accurate? https://t.co/Ukp5BPwMjD #anti…,negative
"RT @bcwilliams92: BREAKING : YES, President Trump CAN Fire James Comey  #maga https://t.co/slGXms0iKx https://t.co/YCUW8IX8ND",positive
RT @MattLaDolcetta: An excellent (and patriotic) way to decorate your tree with support this season. Selling fast! #MAGA #Trump45 https://t…,positive
RT @pnehlen: Trump's in Wisconsin today and Speaker Ryan's in Europe. Ryan's telling them all the great things Ryan's done. Will be a very…,positive
RT @realDonaldTrump: .@transition2017 update and policy plans for the first 100 days. https://t.co/HTgPXfPWeJ,neutral
RT @TheLetter42: @DavidGMcAfee @realDonaldTrump You sure showed him by angrily ranting!,positive
RT @TrumptheB: @TrumpingTheLeft CAN WE START WITH THE ONES ALREADY INSIDE THE USA? YOU SAID YOU WOULD PROTECT US!! https://t.co/tEvo9bBysu,negative
"RT @cgpb: Liberals, Democrats &amp; NoTrump; FOCUS! Republican, Conservative&amp;pro Trumpers aren't your enemy. THESE TERRORISTSARE! https://t.co/…",positive
RT @PrisonPlanet: You mean like leftists have been saying Trump is a great danger to the world for over a year? https://t.co/6bvDxmL5nP,positive
In today's news:  - Neo-Nazi wins Illinois GOP primary.  - White supremacist murders black folks in Austin with mail bombs.  - Unarmed black man Stephon Clark shot &amp; killed by police in his own backyard.  This is Trump's America.,negative
RT @WenMaMa2: .🚨So touched 😢😪😭 We ❤️ ourVets&amp; militaryPatriots🇺🇸 U r the BEST in 🇺🇸 #MAGA @realDonaldTrump @munsue @UTHornsRawk @ari_russia…,positive
"RT @RealDonalDrumpf: My University will teach you my secrets of success, like how to lose $916M in a single year https://t.co/sw1LcyLdcC",negative
RT @JonCozart: Either Trump loses the election or he destroys the planet before we invent time travel to stop him from winning,negative
"RT @GrrrGraphics: #TrumpBackToSchoolTips ""Use facts to confound #Lefty #snowflakes makes great entertainment"" #College  #Campus2017 https:/…",positive
JUST IN: Florida delivered 29 electoral votes to President-elect Donald Trump!👍🇺🇸 #MAGA #ElectoralCollege #UpsideOf2016 https://t.co/EXHQ5wENEH,positive
House Speaker Paul Ryan won’t defend Trump now or in future https://t.co/CGz0JDb2i5,negative
RT @RealDJTrumpTeam: via @TuckerCarlson  AG Sessions: @realDonaldTrump is doing everything possible to get sanctuary cities to reverse thei…,positive
RT @rharrisonfries: President Trump has boarded AF 1 headed to Mara A Lago for Easter weekend ! Thankfully he is not … #MAGA  #united https…,positive
RT @Scavino45: Marine One lands with @POTUS @realDonaldTrump in NYC this evening. Wonderful time at USS Intrepid for 75th Anniv ~ Battle of…,positive
RT @MRAS77: The Aryan Nations skinheads of the past control the GOP #teaparty today. Trump's Aryan America.  @MSNBC #TCOT #MAGA @CNN @cspan…,positive
Ohio Gov. John Kasich to attend President-elect Donald Trump's inauguration: Ohio Poli... https://t.co/S4yhDLqoHo https://t.co/zFKThUfU4T,neutral
Trump supporters tweet #repealthe19th https://t.co/VXKqFDN9UB,positive
