"tweetid", "userid", "tweet_text", "hashtags", "urls", "language", "sentiment"
684805857566011393,12c8f1b1c918d2cecd0102e4f7fdb2771217a46750b220c1af5173d1d19d4112,"RT @CarlaChamorros: One very fine interview with Donald, listen:  Trump: Press Is 'Starting to Like Me' https://t.co/rgQ7mRc7Y3",[],[http://www.breitbart.com/video/2016/01/06/trump-press-is-starting-to-like-me-theyre-starting-to-get-it/],en,positive
630746750127489024,2753146444,New poll shows Trump lead intact after criticism of Megyn Kelly: Donald Trump in the news: An online... http://t.co/LVhrFMWIpD #politics,[politics],[http://bit.ly/1TfiESy],en,neutral
808297682984910848,b9d3b5702a6b5fa38265a627d022ece1598e7ce514e61ef10b929ab4e79ba68e,RT @RT_com: ‘Israel will be destroyed if Trump sparks war in Middle East’ – Iran defense minister https://t.co/wYo8Bq5ggf,[],[http://on.rt.com/7xhy],en,negative
821091474515365890,c863f6f0e2519b1a5b8b00e4f056fd0eab09a62bcf8be2b5e7eaafa42d89e535,RT @HealthRanger: Debateable: bureaucrats insinuate that #Trump is pro-manditory vax... but is that accurate? https://t.co/Ukp5BPwMjD #anti…,[Trump],[https://goo.gl/EOT8MA],en,positive
803985033908330501,2882350436,RT @RunSpotsRun: Stupid Iraq is bleeding from its wherever. People are saying nuke them Bigly and take their oil!#ProbableTrumpsTweets,[ProbableTrumpsTweets],[],en,negative
902712306517254145,a95a911dd6ae864c48ed062cdbe75e5c28dbe0cf57c6db3fa9dd53b654ee9845,"RT @GrrrGraphics: #TrumpBackToSchoolTips ""Use facts to confound #Lefty #snowflakes makes great entertainment"" #College  #Campus2017 https:/…","[TrumpBackToSchoolTips, Lefty, snowflakes, College, Campus2017]",[],en,neutral
847606065839521794,a95a911dd6ae864c48ed062cdbe75e5c28dbe0cf57c6db3fa9dd53b654ee9845,RT @hrtablaze: Shout Out to #California Trumpsters ! I know how it feels to be in a state that hates everything we love.  Respect ! 👊  #Thu…,[California],[],en,positive
817111536363663360,a95a911dd6ae864c48ed062cdbe75e5c28dbe0cf57c6db3fa9dd53b654ee9845,"RT @nia4_trump: Brittany Herring &amp; her thug friends live stream violent kidnapping/torture on FB, the feed was up for over 30 mins! https:/…",[],[],en,negative
805941466035929089,a95a911dd6ae864c48ed062cdbe75e5c28dbe0cf57c6db3fa9dd53b654ee9845,RT @The_Trump_Train: Jill Stein is now refusing to pay the amount required for a recount putting the burden on taxpayers. A total and compl…,[],[],en,negative
846440612018585600,a95a911dd6ae864c48ed062cdbe75e5c28dbe0cf57c6db3fa9dd53b654ee9845,RT @nocount23: @businessinsider @realDonaldTrump this is one of the globalist they always want war world banks make money,[],[],en,positive
800851762412273664,a95a911dd6ae864c48ed062cdbe75e5c28dbe0cf57c6db3fa9dd53b654ee9845,RT @realDonaldTrump: .@transition2017 update and policy plans for the first 100 days. https://t.co/HTgPXfPWeJ,[],[],en,neutral
815037019973763073,a95a911dd6ae864c48ed062cdbe75e5c28dbe0cf57c6db3fa9dd53b654ee9845,Can't blame @realDonaldTrump for blocking you!  You're a person of rare intelligence. It's rare when you show any. https://t.co/L0c9YaqEqH,[],[https://twitter.com/stiffasaward/status/815036729644158976],en,neutral
841471514918625280,a95a911dd6ae864c48ed062cdbe75e5c28dbe0cf57c6db3fa9dd53b654ee9845,RT @latinaafortrump: Fascinating how the left loves to constantly berate such a successful accomplished woman on the right. They're hypocri…,[],[],en,negative
862123925781716992,a95a911dd6ae864c48ed062cdbe75e5c28dbe0cf57c6db3fa9dd53b654ee9845,"RT @GretchenInOK: FBI Deputy Director MUST BE FIRED, too! @realDonaldTrump @AGJeffSessons  https://t.co/rmfUHHI9ME",[],[http://truepundit.com/fbi-deputy-director-snaps-in-anti-trump-tirade-mccabe-professes-hatred-for-u-s-president-to-fbi-colleagues/],en,neutral
882702440574754817,a95a911dd6ae864c48ed062cdbe75e5c28dbe0cf57c6db3fa9dd53b654ee9845,"RT @SmallBiz4Trump: #CNNBlackmail tweets are coming fast and furious, @Jack and @Twitter banning it from trending list. smh😡😡😡 https://t.co…",[CNNBlackmail],[],en,negative
876031688912056320,a95a911dd6ae864c48ed062cdbe75e5c28dbe0cf57c6db3fa9dd53b654ee9845,🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸 President Trump will make America great again! #AmericaFirst #MakeAmericaGreatAgain #MAGA 🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸 https://t.co/lcJMa4z6YX,"[AmericaFirst, MakeAmericaGreatAgain, MAGA]",[],en,positive
879215666926104577,a95a911dd6ae864c48ed062cdbe75e5c28dbe0cf57c6db3fa9dd53b654ee9845,"RT @KLSouth: My hope is that #Trump has the balls to decimate the media, communists in #Congress, Academia, the Federal “judiciary” and Fed…","[Trump, Congress]",[],en,positive
